	comment	label
2013417	후잉의 탄생배경을 알려주는 영상	0
2006706	힘냉	0
2011805	막플 가면 최소 100베	0
2020473	와 금지 ㄱ같은 ㅋㅋㅋ 본계 진작 차단박혀서 부계로 봤는데 어 인스타 안하나 해서 혹시나 새 부계 팠는데 인스타하네 ㅋㅋ 금지 인스타 안보이는분들 차단박힌거임 참고	0
2017139	이거 할때 산이 지민 겁나 챙겼잖아	0
2023400	나름님 보고싶어요슬플때 마다 보는데 나름님이 안 나오시닌까 더 슬프고 보고싶어 져요빨리 나오세요저는 그냥 용서 할걸요다시한번 말하는데 사랑해요	0
2007080	뭐가 그렇게 윾쾌 하냐 일부러 안그래도 된다참담할텐데	0
2021999	보개미 언제돌아오냐 다른 뒷광고 백만따리들은 그냥 하던데	0
2004227	나는 막짤 타일인줄ㅋㄱㅂㅍ	0
2015523	너무웃겨	0
2018684	지디 이 영상에서 되게 유아인 닮았다	0
2020293	영원히 돌아오지 마세요질질짜면서 돌아오지 마세요스리슬쩍 복귀하지 마세요구렁이 담넘듯 자연스럽게 합방으로 복귀하지 마세요평생 매체에 등장하지마세요이상입니다 이제 광고도 안들어올텐데 비비큐나 직접 사 드십쇼 ㅋㅋ	0
2005059	오른손 귀여워서 ㅇㅂ	0
2019661	악플 법 그거 쎄져서 악플달면 크레이터나 그런사람이 신고하면악플단사람 벌금이나 징역감	0
2008562	우리 앞으로 더 열심히 살자 ㅇㅂ	0
2012351	슨리	0
2021176	다른사람은 몰라도 언니는 믿었었는데속상하네요	0
2019062	진짜 떳떳하면 유기된 개 관련 영상은 공개해라 만약 그거 조작이면 동물학대로 처벌 받아야한다뒷광고도 속인게 문제지만 다른 피해는 따로 발생하지 않는데 개 문제는 생명이 달리거고 심지어 죽었다는 소리도 있던데그걸 조작한거면 진짜 처벌받아야한다	0
2015732	323 박봄을 귀여워하는 지디를 귀여워하는 나	0
2029845	멘탈 진짜 티타늄이네니가썼던 글 진짜 초창기부터 보면서 일베 주고 그랬는데 잠깐안보인다싶었더니 사고당했었구나지금 일게이들이 놀려도 응원하는 일게이가 더많다는거 알아주고 힘냈으면 좋겠다	1
2027359	가끔 모자이크를 흐릿하게 지운 영상들이 떠도는데 보니깐 전부 다 콘돔을 끼고 있음 ㅋㅋ 심지어 질싸 해금도 죄다 마찬가지 존나 실망스러웠음 ㅋㅋ	1
2006321	슨타크의 일베력이 올라가고있다 6000 7000	0
2018055	정준영 사건이 떠오르네요 사건 터지니까 친한 연예인들 손절한 연예인들 찾아서 평가가 내려지곤 했죠친하다는 이유로 원색적인 비난은 하지 않았으면 합니다	0
2015360	ㄹㅇㅋㅋ	0
2029191	니글보고 많이웃엇엇는데존나 사람인생모르는거같다 이런말 잘안하는데 진짜 힘냇으면 좋겟다 뭐라도 해주고싶네	1
2028682	니 가끔 사촌누나 상상하며 딸친건 왜 빼먹노	1
2013030	1100	0
2012345	내가먹었다이기	0
2015224	언니 자막이 조오오오금 빠른 것 같아요 조금만 늘려주시면 감사하겠습니다	0
2000212	ㅋㅋ엌ㅋㅋ	0
2012455	ㅡ	0
2031013	정말 어느 한때는 표현할 수 없는 슬픔이 밀려오겠지만 그럴땐 한번 미친듯이 울고 다시 긍정적으로 유쾌하게 살았으면 좋겠다 널 응원한다	1
2001409	와 65까지 내가 69가 최대 뺀거였는데 암튼 고마워 조언 오	0
2027314	남방계새끼들 여름에 상의탈의 런웨이는 안미개하냐 근데 나도 북경새끼들이 유독 수도부심역겨운건 ㅇㅈ함	1
2016647	형은 유비지 바부야	0
2021832	뭘 잘못한거임 뭐라하는지 모르겠음	0
2019703	애휴얼마나 힘들었으면 20만원씩 걷어서 광고비 넣에게 주었겠니 그냥 맛있다고 좀 해줄것이지 그걸 또 까고 쳐있네	0
2001735	뭘 이렇게 자세하게 써놨냐 안힘드냐	0
2004836	자필 아니라서 ㅁㅈㅎ	0
2015093	4시간130분8시간이상2시간30이 제일 적당할듯	0
2023713	내가 지민님 랩 좋아했는데 이 사건 터지고 난 후에 지민님이 되게 원망스러웠다 원망스러울 뿐만 아니라 대체 민아님이 무슨 잘못을 했길래 그렇게 긴 시간동안 민아를 괴롭혔는지 궁금증도 들었다 이런말 해도 되는지 모르겠는데 그냥 민아님이 힘들어했던 것처럼 지민님이 그 반이라도 힘들었으면 좋겠다 진짜 이거라도 안되면 나 지민님 더 싫어질 거 같에	0
2021543	드라마로 응답하라2020 나오면 개꿀잼각일듯	0
2006985	너 일베주려고 몇년만에 로그인해본다 힘내라	0
2003158	오사카에서 맞았다는 한국가족 생각나네요 우리나 중국이나 일본이나	0
2004140	썰좀 풀어봐라	0
2011539	막플좀	0
2025001	패배자가 아니라 창년은 너같은 븅신 유흥바닥 갈보년들 공쳤을 때 대신 사먹는 년이라고 몇번을 말하노	1
2027470	해외나가보면 한국이 얼마나 발전된 곳인지 알수 있다 유럽 미국도 ㅂㅅ같은곳 많다 일본도 인프라 존나 낡았어	1
2010304	일베 많이 받는거 배아파서 부캐동원 5ㅁㅈㅎ	0
2030484	로또 한방 맞길바란다 게이야	1
2003393	걍 딸치는게 낫지 저거 한번 가는돈이면 국밥 20그릇 먹을수 있다	0
2017789	저 몰라요 13살인디	0
2007721	1분안에 2만베 되겠다	0
2023781	너무 실망스러워요이것도 거짓말 인것 같아서두려워요	0
2005021	긍정 ㅇㅂ 정회원 축하한다이기야	0
2013631	6시 퇴근누나도 이쁘시다	0
2020481	와 난 푸마 영상 못봤는데 올라온거 보고 오니까 진짜 역겹네사람이 왤캐 추하냐 양팡 목소리만 들어도 역겨웡	0
2024274	ㅋㅋ여시 씹개보지련들 사냥꾼게이ㅇㅂ	1
2013177	103 오빠 나어때	0
2025576	틀딱 할매미들같은데 ㅁㅈㅎ	1
2028971	슨타크 게이ㅠㅜ 힘내라 ㅠㅜ	1
2007624	ㅠㅠㅠ 힘내라 이기 고통사고 썰좀 풀어줘라 이기 궁금하노	0
2017709	잡았죠꼬마	0
2030971	3만베가자 저거만든게이엿노ㅜㅜ기술우짜노	1
2003206	착한폭행 인정합니다	0
2016807	용서만이 살길이에요 여러분	0
2005405	넌 일베가 아니라 오유가 어울릴듯 한데ㅋㅋ 그렇게 보고싶은 거만 보고 믿고 싶은 거만 믿어 ㅎㅎ	0
2025331	ㅋㅋ지가 한국에서도 만나기 힘든 바람 두번피는 여자 만나놓고 스시녀 까내리네명심해라한국에서 이상한 여자 걸릴 확률 518일본에서 이상한 여자 걸릴 확률 518사귄횟수 한국 8 일본 4일본 4중2는 한국 돌아오면서 헤어지거나 군대가서 헤어짐나머지 2는 속궁합 안맞아서 내가 참한국 8에 대한 설명은 그냥 니들이 사겼든 그 이기적인 그성별이므로 설명을 생략함	1
2005373	나도 영화관 한 번 쯤은 해보고 싶어서 지금 할까 고민중이다 이기 ㅋㅋㅋ	0
2003713	강창모	0
2017890	저때 진짜 지민이랑 키썸 얄미웠음ㅋㅋ 무슨 학교 재롱잔치처럼 해놓고 뭐저리 당당한 건지 ㅋㅋ 산이도 저 때 지민 겁나 대놓고 편애해서 산이 완전 싫어했었지ㅋㅋ제시가 진짜 내가 하고 싶은 말 다 해줘서 사이다 제시때문에 봤던 기억이 나네요	0
2023056	기분이 좋다 내 친구	0
2007377	와 힘내라	0
2018718	지디앤탑 좋았는데 온갖 구설과 범죄로 물들었누 곡만 남았다	0
2007948	애 글은 이렇게 써도 마음속으론 펑펑 울고있을텐데 심한말은 삼가라 가식적이게 오유마냥 위로해주는것도 역겹지만야주 예수 그리스도를 믿으라 그리하면 너와 네집이 구원을 얻으리라 사도행전	0
2024826	시발휴게소 경찰불러야지	1
2012057	ㅍㅊㅍㅌㅍ	0
2002423	최악의 만남이네 ㅋㅋ	0
2019477	아니 유튜브 키면은 무슨 다 죄송하데	0
2009076	다시 만들어줘	0
2027571	3번 글 안읽냐 씨발 존나 빡치네	1
2007652	광광 울었따	0
2029000	슨타크게이야ㅠㅠ	1
2025381	50은 3040 이용해서 최고로 꿀빠는 새끼들임40은 이제 좀 안정되서 좋을까 했는데 온갖 세금 뚜드려 맞기 직전인데 해결방법은 노비신분으로 가야됨30대 들은 신분상승 모든 사다리가 박살남 학업이 안되면 뭐라도 해서 돈으로라도 가능했는데 이젠 불가능 함하지만 그들의 공통덤은 아직도 달님이 최고라고 씨부림 대가리 깨질것도 없고 그냥 뒤져야됨	1
2026487	니네는 어차피 걸레로 의심받을일도 없어서 노상관	1
2003855	풉	0
2010979	야 기분 응디 딱 조타	0
2024448	보지민국에서 그게 통하리라고 보냐	1
2001572	그래 ㅎㅎㅎ	0
2014326	2020년에 보는사람	0
2021518	뒷광고도 문제겠지만난 ㄱㅈ역입막음건이 더 신경쓰이네이건 입장표명 해줘야지	0
2001015	그냥 혼자살아가는거지 가정을 꿈꾸고 그럴라면 노력좀 해야할거고	0
2008730	살아있다는 사실 자체가 너에겐 희망이자 의지이자 가능성이다 ㅇㅂ	0
2022289	비가 자기소개를 하면답나비	0
2010408	니 정신력을 보니 힘내라는 내 말이 무의미할 정도다앞으로도 뭘 해도 잘 해내리라 본다건강 잘 챙겨라	0
2026197	노예근성 티내노 1년도 넘은글을 처 가지고 오노 ㅋㅋㅋ존레논 혼혈 아들인 션레논 여친이라 저짓거리 하는거임이거 존나 옛날 사건인데 인스타그램 저 짤방 내린지 오래임 당시에 저거 터지고 발빼고 내렸어 일뽕색기들은 존나 옛날 자료 처 올리고 반복하노한국이 베트남에서 저지른 범죄를 생각해서 태극기를 먼저 태워라 이런기사는 없는데 그냥 이글 자체가 구글링해서 복사한글욱일기 쓰면 안되는 이유 논리적으로 적어놓음 이거 반박하는사람 없는듯111972624451121820600511196825126애초에 전통 문양도 아니고 최근에 그려진 배경뒤에 있는 그림일뿐인데그걸 처 국기에 제국주의시작하면서 국기로 따와서 지정한거다베트남 전쟁기념 박물관에 한국도 미국에 의한 피해자라고 나와있음민간인 사망한건 존나 안타까운일지만	1
2004012	앞으로는 제대로 정리해서 쓸게ㅠㅠ 미안하다	0
2022742	그래도 쉬겠다는 말은 안하네 쉬불룐	0
2026578	고소하기 전에 저 애는 엄마한테 죽도록 맞을듯자기 딸이 벌써부터 춤추고 별창짓하고 있으니	1
2005912	ㅋㅋ 갑자기 웃기노 ㅋㅋ알바의 전문가 ㅋㅋ 뭐 어쨌든 이제 사회 초년생이 된 나에겐 신기하고 궁금하게 많아서 ㅋㅋ 전문가들 보이면 뭐든 묻는다 이기야	0
2016592	형 내가 아는형은 애호박을 그렇게 두껍게 썰지 않았어항상 열심히 잘랏는데	0
2008605	여기서 댓글한 3개단것같다	0
2018369	제시랑 타이미 서로 디스 엄청 하더니 둘 다 진짜 뒤끝없고 쿨한 것 같다	0
2021354	댓글이 13만 어마어마 하네	0
2005457	정말 힘들겠지만 열심히 살아서 자살하지는 말아라	0
2004378	나도이역사에낀다	0
2016047	치요남 치킨 에게 6000만원 이라는 거액의 광고비를 받고서도 어덯게 치킨보다 사이드가 맛있는 집 표절 6단 치킨 호날두가 공뺏긴듯 어설프게 기교부린맛 이딴 식으로 조롱을 할수가 있죠 그 6000만원 점주들에게 20만원씩 걷어서 마련한 거란거 아시나요 그딴식으로 할거면 광고 하지 마세여 보겸님 점주들은 정말 피같은 돈인데 광고 효과가 단 일도 없었다고 하네요	0
2021909	방관자가 가해자보다 더 나쁜 인간임	0
2020779	솔직히 팀원들이나 마당발 김신영 정도면 어느정도 알고 있었겠지	0
2020033	에고 또 지디없이 반년이 지나갔네	0
2030040	힘내라 게이야	1
2030202	시발 드립가지고 정색빠는 씹선비보소	1
2009648	조용히 ㅇㅂ놓고간다	0
2002236	ㅇㅇ먄	0
2007973	나도 맘이좀그렇네	0
2003724	정신 나갔냐 이유 없이 왜 시비를 걸어 ㅋㅋ	0
2019833	얘가 제일 악질임 제일 억울한건 쯔양이고 접어야될 사람은 따로 있는데	0
2020642	왕따20년당햇는데난꿋꿋이살아잇다견디면아무것도조또아니다민아화이팅	0
2013788	처음부터 업드려서 누워자세요 ㅋㅋㅋ	0
2014781	056 ㅋㅋ누구보고하는말이얔ㅋㅋ	0
2013737	시청자를 속인건 씻을수 없는죄 접어라	0
2018395	제시언니가 촉이 좋았던거네	0
2016182	코좀 그만크라구	0
2001220	미프에서 한국남자랑 결혼한 일본사는 30대 여자가 말걸고 그런적 있다 친구들 소개해줄까 하는데 일본에 있고 영어 못한대서 관둠	0
2015898	꿀잼 와 진짜 정말 재밌어요ㅠㅜ 앞으로도 노력해주세요오어	0
2020972	쎈언니 제시ㅋㅋ	0
2019919	어짜피 시청자들은 개돼지들이라서 무시하고 방송하면 돼요 ㅠㅠ 아프리카 방송부터 팬채팅으로 돌린후 매니저 몇명 구해서 사건언급하는 사람 전부 블랙시키고 차차 복귀각 잡읍시다	0
2025037	둘다 선택 안해 븅신아	1
2011123	이루어지길	0
2024851	그만큼 변기가 존나 많잖아 김치년들 화장실에서 똥 오줌만 싸고 나오는게 아니라 화장 고치고 별짓 다해서 늦는다더만	1
2017255	이렇게 쓰면 있어보임	0
2008322	진심으로 응원한다 후원계좌라도 열어줬으면 좋겠네 진심	0
2017455	이참에 먹방쪽 말고 다른 곳도 한반에 다터뜨리는게	0
2017533	인제돌아와요 누나	0
2019138	진짜 재밌게 사귀시능거ㅜㅜㅠㅠ	0
2014240	1353 앞플 음파 피하기 ㄷㄷ	0
2002939	노잼따리 노잼따 이딴글이 인기글일베 망햇다 딱 망햇따	0
2007051	슨타크ㅜㅜㅠㅠ	0
2010212	힘내라 정신똑바로 챙기고 잘 살아라	0
2000952	말걸어주니 좋다고 이야기 풀어가노	0
2014083	그 긴한데 네 하지 말라구요 네 알겠습니다	0
2025019	눈까리 막혔노 남탕된 클럽들 망하는게 당연한거 아니냐 이 병신년은 정신승리하고 싶어서 끝까지 리플다네 끝까지 함가볼까ㅋㅋ	1
2007327	멘탈ㄷㄷ	0
2017232	이러면 박근혜랑 문재인 뭐가 다르나요	0
2001306	넌 여자 몇명이랑자봄	0
2007698	2만베 가겠노ㄷㄷ	0
2030053	아씨발 힘내라 새꺄 왜 요즘 슨타크 안보이나 했더니 치료중이었구나 빨리 회복해라 게이야	1
2005398	댓글속도 일베속도 ㅆㅅㅌㅊ쾌유해서 즐거운 일베라이프 되라	0
2022574	설현은 더 내려갈 이미지가 없는줄 알았는데 아예 바닥을 뚫고 내려가네	0
2001304	썩은 똥 ㅋㅋㅋ	0
2010414	이기록ㅋㅋㅋ안깨진댜	0
2018744	지민 눈빛 봐 나만 그래 다시봐도 지민 눈빛 쫌 무섭다	0
2025735	위에서도 박근혜 타령하더니 댓글 밀려서 안 보일까 또 박근혜 타령 ㅋㅋ좆족 ㄹㅇ 징하노 ㅋㅋ	1
2009053	이와중에 긍정적이네 힘내라	0
2010159	38000베정도가 마지노선이겠노 4만베는 힘들겠다	0
2004648	포항공대 말한건데 포스텍	0
2013148	100 시초정츠	0
2016086	칭찬하면서 탈락은 왜 시킨거야 이해가 안되네랩 잘한다고 칭찬하고 약주고 병주는것도 아니고 저럴꺼면 칭찬을 하지 말든가선 칭찬 후 탈락언행불일치 개오지누	0
2001358	일본여자들 남자얼굴 보는게 유난히 심하더라한국은 얼굴보단 분위기나 키로 많이 따지던데	0
2017074	이 영상에 나오는 흑발 지디는 레전드	0
2029021	힘내라ㅜㅠ 게이야 부캐동원 3베준다	1
2029060	스모크햄 ㅋㅋㅋ시발 미친색기	1
2028396	뭐라노 시발ㅋㅋ 군인대우 소방관경찰 대우 싹다 민주당이 더 잘하는거 모르냐 여론몰이일진 몰라도 진심 군인들 대우만큼은 민주당이 더 잘해줬다	1
2024121	이새끼 저기서 장사하는 장사치인가보네	1
2025669	와이프가 일본 아이돌이랑 똑같이 생겼다고 하는거 부터 스크롤 싹내리고 욕박으러옴 병신 허언증 새끼야	1
2024109	섹스하러 모이는듯	1
2011328	와 이기록은 안깨지겠지힘내라	0
2007009	진짜 힘내라 벌레잡는모습이 윾쾌해보엿는데 재활열심히하고 희망잃지말고 오랫동안 건강하게 살아라	0
2030998	니애미다 이 씨발놈아 인간쓰레기야나도 예언 하나할까몇개월안에 너 아님 너희 가족중에 전신화상입고 니 예언대로 될거다	1
2004784	아응애에요	0
2012917	어쩌라긔	0
2017725	장성규 삼촌 드립 제 스타일이네요 ㅋㅋ	0
2016620	형 진짜 힘내	0
2006530	힘내라 이기야 ㅇㅂ	0
2014477	와 제시 개멋있다	0
2027851	고유명사일뿐인 욱일승천기랑 천황을시발꺼 정신슨리 해보겠다고욱일기 일왕 거리는거 존나 한심해보임	1
2000283	ㅇㄱㄹㅇ	0
2003014	일부심보소	0
2028034	좆까 그래도 네임드 ㅁㅈㅎ는 줄거야	1
2005738	긍정적으로 밝게사는거같아서 보기좋다 힘내라	0
2022476	생방보면서 유툽 레전드 ㅋ	0
2025832	응 그게 니애미 ㅋㅋ	1
2011927	막플먹으면 될지도모른다	0
2016393	하 너무 섹시해 개 섹시해 겁나 섹시해 매우 섹시해 아주 섹시해 그냥 섹시해 목소리 섹시해 아무것도 안해도 섹시해 웃어도 섹시해 수비드 섹시해 머리카락 섹시해 손 섹시해 손가락 섹시해 손톱 섹시해 냄비 섹시해 장갑 섹시해 놀라는 거 섹시해 편집 섹시해 존재자체가 섹시해 아 결혼 하셨구나결혼 섹시해	0
2009288	막플은나야	0
2017971	전 방귀냄새 폴폴 방귀 몰카가 젤 잼있었어욬ㅋㅋㅋ 계속 돌려보면서 웃고ㅋㅋ	0
2002823	못사는집특징맞아서 ㅁㅈㅎ	0
2014414	야 선넘지 마내꺼야	0
2018042	정말이제 하나하나씩 다 망하는구나	0
2008259	어쩌다가 교통사고 당한거냐	0
2025654	아따 나의 스시녀는 아니랑께	1
2016577	형 5게월 뒤애 도라오갯지 기데됀닿ㅎㅎ이 썩은 나라의 잼민이	0
2000514	어휴	0
2022591	설현이나 지민이나 도찐개찐인걸로아는데 ㅋ	0
2007206	와 댓글수봐라 ㄷㄷ	0
2014413	야 근데 볼것도 없다 ㅋ복귀나 해라	0
2015161	ㅉ	0
2019047	진짜 너무 안타깝다 나 이분이 100만 되기 전부터 보고 얘둘한테 구독하라하고 슝웅탁 이것도 따라했었는데	0
2027764	댓글존나달리겄네 이새기 ㅋㅋ니댓글 500베는 내꺼다	1
2030098	와 씨발 인생 한순간이네	1
2000198	내가 지금까지 여러가지 알바 일 해오면서 유일하게 추노한곳임	0
2019962	언니가 잘못한거는 맞긴한데 정이 쉽게 안떨어진다 근데 진짜로 복귀각은 잡진말자 사람이 실수는 할수있어 근데 4번한게 그게 실수야그냥 아예 나오지 말아줘	0
2001187	걍 보이길래 물어보는건데	0
2020558	와 진짜	0
2025678	서양인이면 아다 폭격기 처럼 108 처녀 따먹고 다닐수 있슴	1
2021365	댓중에 탑연하 지디연상같다는거있는데반대로하면진심밥도둑이다	0
2013977	23점 ㅋㅋ	0
2022036	보겸 왜 영상 안내리지	0
2026666	근데궁금한데저보지들이 어맛 제가카드주워서 신고해줄려고제지갑에넣었다가 모르고계산할때 드린거에요 이렇게나오면 어쩌냐 그거뭐냐 점유물횡령이탈죄 그거 나 도난이나 저김치들이 범죄나 사용의도없었다그러면 처벌못하지않냐 궁금해서그런다	1
2029495	말은이렇게해도 엄청우울할거라생각된다 긍정의힘으로 힘내라ㅠㅠ게이야 너같은놈도 이렇게 긍정적으로생각하는데 가끔자살생각하는 내가 존나한심해보이노	1
2001970	ㄴㄴ 남자들 대부분은 활동적인걸 좋아하는거 맞다	0
2022266	분노한다꼭 바꿔어야 한다 이정부 군 똑 바로하라 정은이한테 아부하냐대한민국 을 북괴에 넘길까 이정권꼭 다음에 바꾸자	0
2017919	저런 애 관리 못한 소속사나 방조한 멤버들이나 ㅎ 그냥 그룹해체해라 쟤만 탈퇴시켜도 이미 그룹이미지 실추됬으니	0
2023148	김신영도끝물이여ㅋ	0
2027879	병신새끼 니가 사람이냐 혐오스럽다	1
2014038	30분만에 밥 주문해서 뎁혀서 먹을수있냐 미쳤네 체하겠다	0
2028285	좌빨들 이근 키운건 마지막에 랑 특전사 엮었어 재앙이 영웅 만들려고 계획한듯 기증전재앙임	1
2004244	남침착맨	0
2025982	ㅋㅋ니애미 씨발년 조선족에 토막날 수준ㅋㅋㅋ	1
2003993	단점 살인충동 느끼는 점	0
2028680	모솔아다인데 어케하면 섹스 가능	1
2015902	뀨	0
2004157	ㄹㅇ 지들이 세계에서 인정받는 줄 암ㅋㅋㅋ	0
2020423	오빠 얼른 와서 차트정리좀 시켜줘	0
2027729	병신새끼 삼국통일한 후에 고려에서 전라도는 노예들이었냐 ㅋㅋㅋ	1
